Denmark,DNK,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,82.9
Dominican Republic,DOM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,76.499
Algeria,DZA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,77.205
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,78.65354697
Early-demographic dividend,EAR,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,72.88235818
East Asia & Pacific,EAS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,79.48417478
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,77.75193241
Europe & Central Asia,ECS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,81.18732531
Ecuador,ECU,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,79.604
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,73.927
Euro area,EMU,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,84.68417432
Eritrea,ERI,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,69.115
Spain,ESP,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,86.3
Estonia,EST,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,82.7
Ethiopia,ETH,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,68.397
European Union,EUU,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,83.85312921
Fragile and conflict affected situations,FCS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,64.22358735
Finland,FIN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,84.5
Fiji,FJI,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,69.664
France,FRA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,85.8
Faroe Islands,FRO,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,84.9
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,74.955
Gabon,GAB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,68.789
United Kingdom,GBR,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,83.1
Georgia,GEO,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,78.153
Ghana,GHA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,66.049
Gibraltar,GIB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,84.226
Guinea,GIN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,60.298
"Gambia, The",GMB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,64.251
Guinea-Bissau,GNB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,62.614
Equatorial Guinea,GNQ,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,63.042
Greece,GRC,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,84.4
Grenada,GRD,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,77.796
Greenland,GRL,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,74.13
Guatemala,GTM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,75.571
Guam,GUM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,81.314
Guyana,GUY,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,72.439
High income,HIC,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,83.47175806
"Hong Kong SAR, China",HKG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,87.7
Honduras,HND,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,75.318
