Denmark,DNK,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,79.1
Dominican Republic,DOM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.233
Algeria,DZA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,74.966
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.10970311
Early-demographic dividend,EAR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,68.82507689
East Asia & Pacific,EAS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.86501593
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.65079259
Europe & Central Asia,ECS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,74.81076526
Ecuador,ECU,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,74.623
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,68.875
Euro area,EMU,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,79.55285467
Eritrea,ERI,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,64.947
Spain,ESP,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80.7
Estonia,EST,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,74
Ethiopia,ETH,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,62.606
European Union,EUU,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,78.35146685
Fragile and conflict affected situations,FCS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.82104012
Finland,FIN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,79.1
Fiji,FJI,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,66.031
France,FRA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,79.7
Faroe Islands,FRO,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80.3
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,67.92
Gabon,GAB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,64.115
United Kingdom,GBR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,79.5
Georgia,GEO,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,68.495
Ghana,GHA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,62.215
Gibraltar,GIB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80.018
Guinea,GIN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,58.326
"Gambia, The",GMB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,61.826
Guinea-Bissau,GNB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,58.263
Equatorial Guinea,GNQ,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.556
Greece,GRC,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,79.3
Grenada,GRD,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,72.06
Greenland,GRL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.75
Guatemala,GTM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.896
Guam,GUM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.887
Guyana,GUY,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,65.503
High income,HIC,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,78.26711914
"Hong Kong SAR, China",HKG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,82.3
Honduras,HND,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.461
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,60.81934543
Croatia,HRV,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,74.9
Haiti,HTI,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,61.231
Hungary,HUN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,72.7
IBRD only,IBD,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.48422898
IDA & IBRD total,IBT,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.0058013
IDA total,IDA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,61.73678673
IDA blend,IDB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.54171732
Indonesia,IDN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,68.311
IDA only,IDX,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,62.8633072
Isle of Man,IMN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,78.709
India,IND,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.367
Not classified,INX,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,
Ireland,IRL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80.4
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.519
Iraq,IRQ,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.559
Iceland,ISL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,81.3
Israel,ISR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80.9
